I, [2014-03-31T11:37:02.111017 #19228]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-03-31T11:37:02.111328 #19228] ERROR -- Kitchen: ------Exception-------
E, [2014-03-31T11:37:02.111359 #19228] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-03-31T11:37:02.111380 #19228] ERROR -- Kitchen: Message: Kitchen YAML file /root/vagrant_test/passenger/.kitchen.yml does not exist.
E, [2014-03-31T11:37:02.111399 #19228] ERROR -- Kitchen: ------Backtrace-------
E, [2014-03-31T11:37:02.111419 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-03-31T11:37:02.111438 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:78:in `data'
E, [2014-03-31T11:37:02.111462 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:66:in `suites'
E, [2014-03-31T11:37:02.111482 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-03-31T11:37:02.111501 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-03-31T11:37:02.111520 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/config.rb:52:in `instances'
E, [2014-03-31T11:37:02.111539 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:53:in `get_all_instances'
E, [2014-03-31T11:37:02.111558 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-03-31T11:37:02.111577 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-03-31T11:37:02.111596 #19228] ERROR -- Kitchen: /usr/local/rvm/rubies/ruby-1.9.3-p545/lib/ruby/1.9.1/benchmark.rb:280:in `measure'
E, [2014-03-31T11:37:02.111616 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/command/action.rb:36:in `call'
E, [2014-03-31T11:37:02.111635 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:47:in `perform'
E, [2014-03-31T11:37:02.111653 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-03-31T11:37:02.111672 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/thor-0.18.1/lib/thor/command.rb:27:in `run'
E, [2014-03-31T11:37:02.111691 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/thor-0.18.1/lib/thor/invocation.rb:120:in `invoke_command'
E, [2014-03-31T11:37:02.111710 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2014-03-31T11:37:02.111730 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/thor-0.18.1/lib/thor.rb:363:in `dispatch'
E, [2014-03-31T11:37:02.111749 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/thor-0.18.1/lib/thor/base.rb:439:in `start'
E, [2014-03-31T11:37:02.111769 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/bin/kitchen:13:in `block in <top (required)>'
E, [2014-03-31T11:37:02.111788 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-03-31T11:37:02.111807 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/gems/test-kitchen-1.2.1/bin/kitchen:13:in `<top (required)>'
E, [2014-03-31T11:37:02.111826 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/bin/kitchen:23:in `load'
E, [2014-03-31T11:37:02.111845 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/bin/kitchen:23:in `<main>'
E, [2014-03-31T11:37:02.111864 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/bin/ruby_executable_hooks:15:in `eval'
E, [2014-03-31T11:37:02.111892 #19228] ERROR -- Kitchen: /usr/local/rvm/gems/ruby-1.9.3-p545/bin/ruby_executable_hooks:15:in `<main>'
E, [2014-03-31T11:37:02.111911 #19228] ERROR -- Kitchen: ----------------------
